ID,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
24,1,1,female,42,0,0,PC 17757,227.525, ,C,4, , 
25,1,1,female,29,0,0,PC 17483,221.7792,C97,S,8, , 
26,1,0,male,25,0,0,13905,26, ,C, ,148,"San Francisco, CA"
27,1,1,male,25,1,0,11967,91.0792,B49,C,7, ,"Dowagiac, MI"
28,1,1,female,19,1,0,11967,91.0792,B49,C,7, ,"Dowagiac, MI"
29,1,1,female,35,0,0,PC 17760,135.6333,C99,S,8, , 
30,1,1,male,28,0,0,110564,26.55,C52,S,D, ,"Stockholm, Sweden / Washington, DC"
31,1,0,male,45,0,0,113784,35.5,T,S, , ,"Trenton, NJ"
32,1,1,male,40,0,0,112277,31,A31,C,7, ,"Glen Ridge, NJ"
33,1,1,female,30,0,0,36928,164.8667,C7,S,8, ,"Youngstown, OH"
34,1,1,female,58,0,0,113783,26.55,C103,S,8, ,"Birkdale, England Cleveland, Ohio"
35,1,0,male,42,0,0,110489,26.55,D22,S, , ,"London / Winnipeg, MB"
36,1,1,female,45,0,0,PC 17608,262.375, ,C,4, ,"Cooperstown, NY"
37,1,1,female,22,0,1,113505,55,E33,S,6, ,"St Leonards-on-Sea, England Ohio"
38,1,1,male, ,0,0,111427,26.55, ,S,9, ,"Los Angeles, CA"
39,1,0,male,41,0,0,113054,30.5,A21,S, , ,"Pomeroy, WA"
40,1,0,male,48,0,0,PC 17591,50.4958,B10,C, ,208,"Omaha, NE"
41,1,0,male, ,0,0,112379,39.6, ,C, , ,"Philadelphia, PA"
42,1,1,female,44,0,0,PC 17610,27.7208,B4,C,6, ,"Denver, CO"
43,1,1,female,59,2,0,11769,51.4792,C101,S,D, ,"Belmont, MA"
44,1,1,female,60,0,0,11813,76.2917,D15,C,8, ,"Philadelphia, PA"
45,1,1,female,41,0,0,16966,134.5,E40,C,3, , 
46,1,0,male,45,0,0,113050,26.55,B38,S, , ,"Washington, DC"
47,1,0,male, ,0,0,113798,31, ,S, , , 
48,1,1,male,42,0,0,PC 17476,26.2875,E24,S,5, ,"New York, NY"
49,1,1,female,53,0,0,PC 17606,27.4458, ,C,6, ,"Washington, DC"
50,1,1,male,36,0,1,PC 17755,512.3292,B51 B53 B55,C,3, ,"Austria-Hungary / Germantown, Philadelphia, PA"
51,1,1,female,58,0,1,PC 17755,512.3292,B51 B53 B55,C,3, ,"Germantown, Philadelphia, PA"
52,1,0,male,33,0,0,695,5,B51 B53 B55,S, , ,"New York, NY"
53,1,0,male,28,0,0,113059,47.1, ,S, , ,"Montevideo, Uruguay"
54,1,0,male,17,0,0,113059,47.1, ,S, , ,"Montevideo, Uruguay"
55,1,1,male,11,1,2,113760,120,B96 B98,S,4, ,"Bryn Mawr, PA"
56,1,1,female,14,1,2,113760,120,B96 B98,S,4, ,"Bryn Mawr, PA"
57,1,1,male,36,1,2,113760,120,B96 B98,S,C, ,"Bryn Mawr, PA"
58,1,1,female,36,1,2,113760,120,B96 B98,S,4, ,"Bryn Mawr, PA"
59,1,0,male,49,0,0,19924,26, ,S, , ,"Ascot, Berkshire / Rochester, NY"
60,1,1,female, ,0,0,17770,27.7208, ,C,5, ,"New York, NY"
61,1,0,male,36,1,0,19877,78.85,C46,S, ,172,"Little Onn Hall, Staffs"
62,1,1,female,76,1,0,19877,78.85,C46,S,6, ,"Little Onn Hall, Staffs"
63,1,0,male,46,1,0,W.E.P. 5734,61.175,E31,S, , ,"Amenia, ND"
64,1,1,female,47,1,0,W.E.P. 5734,61.175,E31,S,4, ,"Amenia, ND"
65,1,1,male,27,1,0,113806,53.1,E8,S,5, ,"New York, NY / Ithaca, NY"
66,1,1,female,33,1,0,113806,53.1,E8,S,5, ,"New York, NY / Ithaca, NY"
67,1,1,female,36,0,0,PC 17608,262.375,B61,C,4, , 
68,1,1,female,30,0,0,110152,86.5,B77,S,8, ,"London, England"
69,1,1,male,45,0,0,PC 17594,29.7,A9,C,7, ,"Paris, France"
70,1,1,female, ,0,1,113505,55,E33,S,6, ,"St Leonards-on-Sea, England Ohio"
71,1,0,male, ,0,0,112051,0, ,S, , ,"Liverpool, England / Belfast"
72,1,0,male,27,1,0,13508,136.7792,C89,C, , ,"Los Angeles, CA"
73,1,1,female,26,1,0,13508,136.7792,C89,C,4, ,"Los Angeles, CA"
74,1,1,female,22,0,0,113781,151.55, ,S,11, , 
75,1,0,male, ,0,0,110465,52,A14,S, , ,"Stoughton, MA"
76,1,0,male,47,0,0,5727,25.5875,E58,S, , ,"Victoria, BC"
77,1,1,female,39,1,1,PC 17756,83.1583,E49,C,14, ,"Lakewood, NJ"
78,1,0,male,37,1,1,PC 17756,83.1583,E52,C, , ,"Lakewood, NJ"
79,1,1,female,64,0,2,PC 17756,83.1583,E45,C,14, ,"Lakewood, NJ"
80,1,1,female,55,2,0,11770,25.7,C101,S,2, ,"New York, NY"
81,1,0,male, ,0,0,113791,26.55, ,S, , ,"Roachdale, IN"
82,1,0,male,70,1,1,WE/P 5735,71,B22,S, ,269,"Milwaukee, WI"
83,1,1,female,36,0,2,WE/P 5735,71,B22,S,7, ,"Milwaukee, WI"
84,1,1,female,64,1,1,112901,26.55,B26,S,7, ,"Milwaukee, WI"
85,1,0,male,39,1,0,PC 17599,71.2833,C85,C, , ,"New York, NY"
86,1,1,female,38,1,0,PC 17599,71.2833,C85,C,4, ,"New York, NY"
87,1,1,male,51,0,0,113055,26.55,E17,S,5 9, ,"Lima, Peru"
88,1,1,male,27,0,0,113804,30.5, ,S,3, ,"Philadelphia, PA"
89,1,1,female,33,0,0,113781,151.55, ,S,8, , 
90,1,0,male,31,1,0,F.C. 12750,52,B71,S, , ,"Montreal, PQ"
91,1,1,female,27,1,2,F.C. 12750,52,B71,S,3, ,"Montreal, PQ"
92,1,1,male,31,1,0,17474,57,B20,S,3, ,"Calgary, AB"
93,1,1,female,17,1,0,17474,57,B20,S,3, ,"Calgary, AB"
94,1,1,male,53,1,1,33638,81.8583,A34,S,13, ,"San Francisco, CA"
95,1,1,male,4,0,2,33638,81.8583,A34,S,5, ,"San Francisco, CA"
96,1,1,female,54,1,1,33638,81.8583,A34,S,5, ,"San Francisco, CA"
97,1,0,male,50,1,0,PC 17761,106.425,C86,C, ,62,"Deephaven, MN / Cedar Rapids, IA"
98,1,1,female,27,1,1,PC 17558,247.5208,B58 B60,C,6, ,"Montreal, PQ"
99,1,1,female,48,1,0,PC 17761,106.425,C86,C,2, ,"Deephaven, MN / Cedar Rapids, IA"
100,1,1,female,48,1,0,11755,39.6,A16,C,1, ,London / Paris
101,1,1,male,49,1,0,PC 17485,56.9292,A20,C,1, ,London / Paris
102,1,0,male,39,0,0,PC 17580,29.7,A18,C, ,133,"Philadelphia, PA"
103,1,1,female,23,0,1,11767,83.1583,C54,C,7, ,"Mt Airy, Philadelphia, PA"
104,1,1,female,38,0,0,PC 17757,227.525,C45,C,4, ,"New York, NY"
105,1,1,female,54,1,0,36947,78.2667,D20,C,4, ,"Brookline, MA"
106,1,0,female,36,0,0,PC 17531,31.6792,A29,C, , ,"New York, NY"
107,1,0,male, ,0,0,PC 17483,221.7792,C95,S, , , 
108,1,1,female, ,0,0,PC 17598,31.6833, ,S,7, ,"New York, NY"
109,1,1,female, ,0,0,17421,110.8833, ,C,4, , 
110,1,1,male,36,0,0,PC 17474,26.3875,E25,S,5, ,"Brooklyn, NY"
111,1,0,male,30,0,0,113051,27.75,C111,C, , ,"New York, NY"
112,1,1,female,24,3,2,19950,263,C23 C25 C27,S,10, ,"Winnipeg, MB"
113,1,1,female,28,3,2,19950,263,C23 C25 C27,S,10, ,"Winnipeg, MB"
114,1,1,female,23,3,2,19950,263,C23 C25 C27,S,10, ,"Winnipeg, MB"
115,1,0,male,19,3,2,19950,263,C23 C25 C27,S, , ,"Winnipeg, MB"
116,1,0,male,64,1,4,19950,263,C23 C25 C27,S, , ,"Winnipeg, MB"
117,1,1,female,60,1,4,19950,263,C23 C25 C27,S,10, ,"Winnipeg, MB"
118,1,1,female,30,0,0,PC 17485,56.9292,E36,C,1, , 
119,1,0,male, ,0,0,113778,26.55,D34,S, , ,"Westcliff-on-Sea, Essex"
120,1,1,male,50,2,0,PC 17611,133.65, ,S,5, ,"New York, NY"
121,1,1,male,43,1,0,17765,27.7208,D40,C,5, ,"New York, NY"
122,1,1,female, ,1,0,PC 17611,133.65, ,S,5, ,"New York, NY"
123,1,1,female,22,0,2,13568,49.5,B39,C,5, ,"Zurich, Switzerland"
124,1,1,male,60,1,1,13567,79.2,B41,C,5, ,"Zurich, Switzerland"
125,1,1,female,48,1,1,13567,79.2,B41,C,5, ,"Zurich, Switzerland"
126,1,0,male, ,0,0,112058,0,B102,S, , , 
127,1,0,male,37,1,0,113803,53.1,C123,S, , ,"Scituate, MA"
128,1,1,female,35,1,0,113803,53.1,C123,S,D, ,"Scituate, MA"
129,1,0,male,47,0,0,111320,38.5,E63,S, ,275,"St Anne's-on-Sea, Lancashire"
130,1,1,female,35,0,0,113503,211.5,C130,C,4, , 
131,1,1,female,22,0,1,112378,59.4, ,C,7, ,"New York, NY"
132,1,1,female,45,0,1,112378,59.4, ,C,7, ,"New York, NY"
133,1,0,male,24,0,0,PC 17593,79.2,B86,C, , , 
134,1,1,male,49,1,0,17453,89.1042,C92,C,5, ,"Paris, France / New York, NY"
135,1,1,female, ,1,0,17453,89.1042,C92,C,5, ,"Paris, France / New York, NY"
136,1,0,male,71,0,0,PC 17754,34.6542,A5,C, , ,"New York, NY"
137,1,1,male,53,0,0,113780,28.5,C51,C,B, ,"Washington, DC"
138,1,1,female,19,0,0,112053,30,B42,S,3, ,"Greenwich, CT"
139,1,0,male,38,0,1,PC 17582,153.4625,C91,S, ,147,"Winnipeg, MB"
140,1,1,female,58,0,1,PC 17582,153.4625,C125,S,3, ,"Greenwich, CT"
141,1,1,male,23,0,1,PC 17759,63.3583,D10 D12,C,7, ,"New York, NY"
142,1,1,female,45,0,1,PC 17759,63.3583,D10 D12,C,7, ,"New York, NY"
143,1,0,male,46,0,0,PC 17593,79.2,B82 B84,C, , ,"New York, NY"
144,1,1,male,25,1,0,11765,55.4417,E50,C,5, ,"Brooklyn, NY"
145,1,1,female,25,1,0,11765,55.4417,E50,C,5, ,"Brooklyn, NY"
146,1,1,male,48,1,0,PC 17572,76.7292,D33,C,3, ,"New York, NY"
147,1,1,female,49,1,0,PC 17572,76.7292,D33,C,3, ,"New York, NY"
148,1,0,male, ,0,0,113796,42.4, ,S, , , 
149,1,0,male,45,1,0,36973,83.475,C83,S, , ,"New York, NY"
150,1,1,female,35,1,0,36973,83.475,C83,S,D, ,"New York, NY"
151,1,0,male,40,0,0,112059,0,B94,S, ,110, 
152,1,1,male,27,0,0,PC 17572,76.7292,D49,C,3, , 
153,1,1,male, ,0,0,16988,30,D45,S,3, ,"Kingston, Surrey"
154,1,1,female,24,0,0,11767,83.1583,C54,C,7, ,"New York, NY"
155,1,0,male,55,1,1,12749,93.5,B69,S, ,307,"Montreal, PQ"
156,1,1,female,52,1,1,12749,93.5,B69,S,3, ,"Montreal, PQ"
157,1,0,male,42,0,0,113038,42.5,B11,S, , ,London / Middlesex
158,1,0,male, ,0,0,17463,51.8625,E46,S, , ,"Brighton, MA"
159,1,0,male,55,0,0,680,50,C39,S, , ,London / Birmingham
160,1,1,female,16,0,1,111361,57.9792,B18,C,4, ,"Chicago, IL"
161,1,1,female,44,0,1,111361,57.9792,B18,C,4, ,"Chicago, IL"
162,1,1,female,51,1,0,13502,77.9583,D11,S,10, ,"Hudson, NY"
163,1,0,male,42,1,0,113789,52, ,S, ,38,"New York, NY"
164,1,1,female,35,1,0,113789,52, ,S,8, ,"New York, NY"
165,1,1,male,35,0,0,111426,26.55, ,C,15, ,"Indianapolis, IN"
166,1,1,male,38,1,0,19943,90,C93,S,D, ,"New York, NY /  Stamford CT"
167,1,0,male, ,0,0,PC 17600,30.6958, ,C,14, ,"New York, NY"
168,1,1,female,35,1,0,19943,90,C93,S,D, ,"New York, NY /  Stamford CT"
169,1,1,female,38,0,0,113572,80,B28, ,6, , 
170,1,0,female,50,0,0,PC 17595,28.7125,C49,C, , ,"Paris, France New York, NY"
171,1,1,male,49,0,0,112058,0,B52 B54 B56,S,C, ,Liverpool
172,1,0,male,46,0,0,694,26, ,S, ,80,"Bennington, VT"
173,1,0,male,50,0,0,113044,26,E60,S, , ,London
174,1,0,male,32.5,0,0,113503,211.5,C132,C, ,45, 
175,1,0,male,58,0,0,11771,29.7,B37,C, ,258,"Buffalo, NY"
176,1,0,male,41,1,0,17464,51.8625,D21,S, , ,"Southington / Noank, CT"
177,1,1,female, ,1,0,17464,51.8625,D21,S,8, ,"Southington / Noank, CT"
178,1,1,male,42,1,0,11753,52.5542,D19,S,5, ,"Boston, MA"
179,1,1,female,45,1,0,11753,52.5542,D19,S,5, ,"Boston, MA"
180,1,0,male, ,0,0,113028,26.55,C124,S, , ,"Portland, OR"
181,1,1,female,39,0,0,24160,211.3375, ,S,2, , 
182,1,1,female,49,0,0,17465,25.9292,D17,S,8, ,"New York, NY"
183,1,1,female,30,0,0,PC 17761,106.425, ,C,2, , 
184,1,1,male,35,0,0,PC 17755,512.3292,B101,C,3, , 
185,1,0,male, ,0,0,PC 17612,27.7208, ,C, , ,"Chicago, IL"
186,1,0,male,42,0,0,17475,26.55, ,S, , ,"Stockholm, Sweden"
187,1,1,female,55,0,0,112377,27.7208, ,C,6, ,"Stockholm, Sweden"
188,1,1,female,16,0,1,PC 17592,39.4,D28,S,9, ,"Paris, France"
189,1,1,female,51,0,1,PC 17592,39.4,D28,S,9, ,"Paris, France"
190,1,0,male,29,0,0,113501,30,D6,S, ,126,"Springfield, MA"
191,1,1,female,21,0,0,13502,77.9583,D9,S,10, ,"Hudson, NY"
192,1,0,male,30,0,0,113801,45.5, ,S, , ,"London / New York, NY"
193,1,1,female,58,0,0,PC 17569,146.5208,B80,C, , , 
194,1,1,female,15,0,1,24160,211.3375,B5,S,2, ,"St Louis, MO"
195,1,0,male,30,0,0,110469,26,C106,S, , ,"Brockton, MA"
196,1,1,female,16,0,0,110152,86.5,B79,S,8, , 
197,1,1,male, ,0,0,11774,29.7,C47,C,7, ,"Paris, France"
198,1,0,male,19,1,0,113773,53.1,D30,S, , ,"New York, NY"
199,1,1,female,18,1,0,113773,53.1,D30,S,10, ,"New York, NY"
200,1,1,female,24,0,0,PC 17482,49.5042,C90,C,6, ,"Belgium  Montreal, PQ"
201,1,0,male,46,0,0,13050,75.2417,C6,C, ,292,"Vancouver, BC"
202,1,0,male,54,0,0,17463,51.8625,E46,S, ,175,"Dorchester, MA"
203,1,1,male,36,0,0,PC 17473,26.2875,E25,S,7, ,"Philadelphia, PA"
204,1,0,male,28,1,0,PC 17604,82.1708, ,C, , ,"New York, NY"
205,1,1,female, ,1,0,PC 17604,82.1708, ,C,6, ,"New York, NY"
206,1,0,male,65,0,0,13509,26.55,E38,S, ,249,"East Bridgewater, MA"
207,1,0,male,44,2,0,19928,90,C78,Q, ,230,"Fond du Lac, WI"
208,1,1,female,33,1,0,19928,90,C78,Q,14, ,"Green Bay, WI"
209,1,1,female,37,1,0,19928,90,C78,Q,14, ,"Fond du Lac, WI"
210,1,1,male,30,1,0,13236,57.75,C78,C,11, ,"New York, NY"
211,1,0,male,55,0,0,113787,30.5,C30,S, , ,"Montreal, PQ"
212,1,0,male,47,0,0,113796,42.4, ,S, , ,"Washington, DC"
213,1,0,male,37,0,1,PC 17596,29.7,C118,C, , ,"Brooklyn, NY"
214,1,1,female,31,1,0,35273,113.275,D36,C,6, ,"Lexington, MA"
215,1,1,female,23,1,0,35273,113.275,D36,C,6, ,"Lexington, MA"
216,1,0,male,58,0,2,35273,113.275,D48,C, ,122,"Lexington, MA"
217,1,1,female,19,0,2,11752,26.2833,D47,S,5, ,"New York, NY"
218,1,0,male,64,0,0,693,26, ,S, ,263,"Isle of Wight, England"
219,1,1,female,39,0,0,PC 17758,108.9,C105,C,8, , 
220,1,1,male, ,0,0,F.C. 12998,25.7417, ,C,7, ,"Paris, France"
221,1,1,female,22,0,1,113509,61.9792,B36,C,5, ,"Providence, RI"
222,1,0,male,65,0,1,113509,61.9792,B30,C, ,234,"Providence, RI"
223,1,0,male,28.5,0,0,PC 17562,27.7208,D43,C, ,189,"?Havana, Cuba"
224,1,0,male, ,0,0,112052,0, ,S, , ,Belfast
225,1,0,male,45.5,0,0,113043,28.5,C124,S, ,166,"Surbiton Hill, Surrey"
226,1,0,male,23,0,0,12749,93.5,B24,S, , ,"Montreal, PQ"
227,1,0,male,29,1,0,113776,66.6,C2,S, , ,"Isleworth, England"
228,1,1,female,22,1,0,113776,66.6,C2,S,8, ,"Isleworth, England"
229,1,0,male,18,1,0,PC 17758,108.9,C65,C, , ,"Madrid, Spain"
230,1,1,female,17,1,0,PC 17758,108.9,C65,C,8, ,"Madrid, Spain"
231,1,1,female,30,0,0,12749,93.5,B73,S,3, , 
232,1,1,male,52,0,0,113786,30.5,C104,S,6, ,"Toronto, ON"
233,1,0,male,47,0,0,110465,52,C110,S, ,207,"Worcester, MA"
234,1,1,female,56,0,1,11767,83.1583,C50,C,7, ,"Mt Airy, Philadelphia, PA"
235,1,0,male,38,0,0,19972,0, ,S, , ,"Rotterdam, Netherlands"
236,1,1,male, ,0,0,PC 17607,39.6, ,S,A, ,"Paris /  New York, NY"
237,1,0,male,22,0,0,PC 17760,135.6333, ,C, ,232, 
238,1,0,male, ,0,0,PC 17757,227.525, ,C, , , 
239,1,1,female,43,0,1,24160,211.3375,B3,S,2, ,"St Louis, MO"
240,1,0,male,31,0,0,PC 17590,50.4958,A24,S, , ,"Trenton, NJ"
241,1,1,male,45,0,0,111428,26.55, ,S,9, ,"New York, NY"
242,1,0,male, ,0,0,113767,50,A32,S, , ,"Seattle, WA"
243,1,1,female,33,0,0,PC 17613,27.7208,A11,C,11, ,"Paris, France"
244,1,0,male,46,0,0,PC 17585,79.2, ,C, ,16,"New York, NY"
245,1,0,male,36,0,0,13049,40.125,A10,C, , ,"Winnipeg, MB"
246,1,1,female,33,0,0,110152,86.5,B77,S,8, ,"London  Vancouver, BC"
247,1,0,male,55,1,0,PC 17603,59.4, ,C, , ,"New York, NY"
248,1,1,female,54,1,0,PC 17603,59.4, ,C,6, ,"New York, NY"
249,1,0,male,33,0,0,113790,26.55, ,S, ,109,London
250,1,1,male,13,2,2,PC 17608,262.375,B57 B59 B63 B66,C,4, ,"Haverford, PA / Cooperstown, NY"
251,1,1,female,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C,4, ,"Haverford, PA / Cooperstown, NY"
252,1,1,female,21,2,2,PC 17608,262.375,B57 B59 B63 B66,C,4, ,"Haverford, PA / Cooperstown, NY"
253,1,0,male,61,1,3,PC 17608,262.375,B57 B59 B63 B66,C, , ,"Haverford, PA / Cooperstown, NY"
254,1,1,female,48,1,3,PC 17608,262.375,B57 B59 B63 B66,C,4, ,"Haverford, PA / Cooperstown, NY"
255,1,1,male, ,0,0,19988,30.5,C106,S,3, ,"Manchester, England"
256,1,1,female,24,0,0,PC 17477,69.3,B35,C,9, , 
257,1,1,male, ,0,0,111163,26, ,S,1, ,"New York, NY"
258,1,1,female,35,1,0,13236,57.75,C28,C,11, ,"New York, NY"
259,1,1,female,30,0,0,113798,31, ,C,4, , 
260,1,1,male,34,0,0,113794,26.55, ,S,7, ,"New York, NY"
261,1,1,female,40,0,0,PC 17582,153.4625,C125,S,3, ,"New York, NY / Greenwich CT"
262,1,1,male,35,0,0,PC 17475,26.2875,E24,S,5, ,"St Louis, MO"
263,1,0,male,50,1,0,13507,55.9,E44,S, , ,"Duluth, MN"
264,1,1,female,39,1,0,13507,55.9,E44,S,11, ,"Duluth, MN"
265,1,1,male,56,0,0,13213,35.5,A26,C,3, ,"Basel, Switzerland"
266,1,1,male,28,0,0,113788,35.5,A6,S,7, ,"New Britain, CT"
267,1,0,male,56,0,0,113792,26.55, ,S, , ,"New York, NY"
268,1,0,male,56,0,0,17764,30.6958,A7,C, , ,"St James, Long Island, NY"
269,1,0,male,24,1,0,13695,60,C31,S, , ,"Huntington, WV"
270,1,0,male, ,0,0,113056,26,A19,S, , ,"Streatham, Surrey"
271,1,1,female,18,1,0,13695,60,C31,S,6, ,"Huntington, WV"
272,1,1,male,24,1,0,21228,82.2667,B45,S,7, ,"Minneapolis, MN"
273,1,1,female,23,1,0,21228,82.2667,B45,S,7, ,"Minneapolis, MN"
274,1,1,male,6,0,2,16966,134.5,E34,C,3, ,"Tuxedo Park, NY"
275,1,1,male,45,1,1,16966,134.5,E34,C,3, ,"Tuxedo Park, NY"
276,1,1,female,40,1,1,16966,134.5,E34,C,3, ,"Tuxedo Park, NY"
277,1,0,male,57,1,0,PC 17569,146.5208,B78,C, , ,"Paris, France"
278,1,1,female, ,1,0,PC 17569,146.5208,B78,C,6, ,"Paris, France"
279,1,1,male,32,0,0,13214,30.5,B50,C,3, ,"Basel, Switzerland"
280,1,0,male,62,0,0,113514,26.55,C87,S, , ,"Wimbledon Park, London / Hayling Island, Hants"
281,1,1,male,54,1,0,11778,55.4417,C116,C,1, ,"Newark, NJ"
282,1,1,female,43,1,0,11778,55.4417,C116,C,5, ,"Newark, NJ"
283,1,1,female,52,1,0,36947,78.2667,D20,C,4, ,"Haverford, PA"
284,1,0,male, ,0,0,PC 17605,27.7208, ,C, , ,"Gallipolis, Ohio / ? Paris / New York"
285,1,1,female,62,0,0,113572,80,B28, ,6, ,"Cincinatti, OH"
286,1,0,male,67,1,0,PC 17483,221.7792,C55 C57,S, ,96,"New York, NY"
287,1,0,female,63,1,0,PC 17483,221.7792,C55 C57,S, , ,"New York, NY"
288,1,0,male,61,0,0,36963,32.3208,D50,S, ,46,"Haddenfield, NJ"
289,1,1,female,48,0,0,17466,25.9292,D17,S,8, ,"Brooklyn, NY"
290,1,1,female,18,0,2,110413,79.65,E68,S,8, ,"New York, NY"
291,1,0,male,52,1,1,110413,79.65,E67,S, , ,"New York, NY"
292,1,1,female,39,1,1,110413,79.65,E67,S,8, ,"New York, NY"
293,1,1,male,48,1,0,19996,52,C126,S,5 7, ,"London /  East Orange, NJ"
294,1,1,female, ,1,0,19996,52,C126,S,5 7, ,"London /  East Orange, NJ"
295,1,0,male,49,1,1,17421,110.8833,C68,C, , ,"Haverford, PA"
296,1,1,male,17,0,2,17421,110.8833,C70,C,B, ,"Haverford, PA"
297,1,1,female,39,1,1,17421,110.8833,C68,C,4, ,"Haverford, PA"
298,1,1,female, ,0,0,PC 17585,79.2, ,C,D, ,"New York, NY"
299,1,1,male,31,0,0,2543,28.5375,C53,C,7, ,"Albany, NY"
300,1,0,male,40,0,0,PC 17601,27.7208, ,C, , ,"Mexico City, Mexico"
301,1,0,male,61,0,0,111240,33.5,B19,S, ,245,"Brooklyn, NY"
302,1,0,male,47,0,0,36967,34.0208,D46,S, , ,"East Orange, NJ"
303,1,1,female,35,0,0,PC 17755,512.3292, ,C,3, , 
304,1,0,male,64,1,0,110813,75.25,D37,C, , ,"Portland, OR"
305,1,1,female,60,1,0,110813,75.25,D37,C,5, ,"Portland, OR"
306,1,0,male,60,0,0,113800,26.55, ,S, , ,"England Salt Lake City, Utah"
307,1,0,male,54,0,1,35281,77.2875,D26,S, , ,"Brunswick, ME"
308,1,0,male,21,0,1,35281,77.2875,D26,S, ,169,"Brunswick, ME"
309,1,1,female,55,0,0,PC 17760,135.6333,C32,C,8, ,"New York, NY / Briarcliff Manor NY"
310,1,1,female,31,0,2,36928,164.8667,C7,S,8, ,"Youngstown, OH"
311,1,0,male,57,1,1,36928,164.8667, ,S, , ,"Youngstown, OH"
312,1,1,female,45,1,1,36928,164.8667, ,S,8, ,"Youngstown, OH"
313,1,0,male,50,1,1,113503,211.5,C80,C, , ,"Elkins Park, PA"
314,1,0,male,27,0,2,113503,211.5,C82,C, , ,"Elkins Park, PA"
315,1,1,female,50,1,1,113503,211.5,C80,C,4, ,"Elkins Park, PA"
316,1,1,female,21,0,0,113795,26.55, ,S,8 10, ,"Duluth, MN"
317,1,0,male,51,0,1,PC 17597,61.3792, ,C, , ,"Geneva, Switzerland / Radnor, PA"
318,1,1,male,21,0,1,PC 17597,61.3792, ,C,A, ,"Geneva, Switzerland / Radnor, PA"
319,1,0,male, ,0,0,113510,35,C128,S, , ,"London, England"
320,1,1,female,31,0,0,16966,134.5,E39 E41,C,3, , 
321,1,1,male, ,0,0,19947,35.5,C52,S,D, ,"London, England"
322,1,0,male,62,0,0,113807,26.55, ,S, , ,"Halifax, NS"
323,1,1,female,36,0,0,PC 17760,135.6333,C32,C,8, ,"New York, NY / Washington, DC"
324,2,0,male,30,1,0,P/PP 3381,24, ,C, , ,"Russia New York, NY"
325,2,1,female,28,1,0,P/PP 3381,24, ,C,10, ,"Russia New York, NY"
326,2,0,male,30,0,0,248744,13, ,S, , ,"Bryn Mawr, PA, USA"
327,2,0,male,18,0,0,231945,11.5, ,S, , ,"Buenos Aires, Argentina / New Jersey, NJ"
328,2,0,male,25,0,0,C.A. 34050,10.5, ,S, , ,"Cornwall, England Houghton, MI"
329,2,0,male,34,1,0,226875,26, ,S, , ,"Warwick, England"
330,2,1,female,36,1,0,226875,26, ,S,11, ,"Warwick, England"
331,2,0,male,57,0,0,244346,13, ,S, , ,"West Hoboken, NJ"
332,2,0,male,18,0,0,29108,11.5, ,S, , ,"Penzance, Cornwall / Akron, OH"
333,2,0,male,23,0,0,C.A. 31030,10.5, ,S, , ,Guernsey
334,2,1,female,36,0,0,28551,13,D,S,10, ,"Bristol, Avon / Jacksonville, FL"
